row;dB_at_idle;dB_at_50kmh;dB_at_80kmh;dB_at_100kmh;dB_at_120kmh;dB_at_140kmh
1614;44.7;55.0;63.2;67.9;68.7;69.955539
1615;37.9;58.8;62.5;66.3;68.2;71.7nan
1616;37.9;52.0;58.5;66.8;69.2;70.8nan
1617;44.8;61.6;66.7;69.2;73.0;77.351554
1618;38.2;59.4;65.0;68.5;70.6;73.551554
1619;47.3;60.0;64.8;69.4;72.9;76.6nan
1620;37.9;60.7;64.2;69.1;72.2;74.1nan
1621;40.0;61.4;65.5;68.9;71.7;75.647514
1622;46.8;61.1;66.1;70.1;72.1;74.147515
1623;45.7;56.2;64.7;68.5;70.3;72.547515
1624;46.2;56.9;65.4;69.2;71.1;73.451592
1625;36.2;58.4;62.8;66.6;72.4;72.5nan
1626;45.5;56.0;64.4;68.6;70.0;71.851566
1627;37.7;58.0;61.7;65.5;68.9;72.858751
1628;39.3;59.6;65.4;68.5;71.3;73.8nan
1629;47.1;56.6;62.2;67.3;69.7;71.8nan
1630;2012;35.6;48.3;56.0;60.9;61.8
1631;2013;35.0;55.2;61.0;64.1;67.6
1632;2016;43.2;51.6;56.2;59.6;63.6
1633;2016;34.4;53.1;58.1;61.5;65.2
1634;2017;35.9;53.8;58.5;63.3;65.2
1635;2010;38.6;50.5;58.0;61.8;65.4
1636;2014;43.5;51.7;57.0;59.2;63.0
1637;45.0;55.4;63.7;66.3;69.3;72.7nan
1638;47.8;60.8;63.8;68.8;70.9;73.0nan
1639;45.0;55.4;63.7;66.3;69.3;72.7nan
1640;45.0;55.4;63.7;66.9;69.3;71.9nan
1641;2010;45.5;59.1;65.1;67.1;70.1
1642;2013;32.9;54.9;59.9;62.3;66.7
1643;45.9;56.5;60.6;65.3;67.6;71.3nan
1644;37.2;55.1;60.2;65.1;68.7;70.8nan
1645;39.9;52.0;58.2;65.3;67.7;69.8nan
1646;38.5;48.9;55.4;58.7;61.9;65.251629
1647;2016;39.4;50.6;57.4;61.4;63.2
1648;2008;43.6;53.7;61.7;63.4;67.2
1649;2009;43.9;54.0;62.1;65.1;67.6
1650;Stationcar;2009;52.2;60.3;65.1;67.2
1651;2010;43.8;53.9;62.0;64.9;67.5
1652;44.9;55.2;63.5;67.3;69.0;71.150589
1653;46.7;58.4;61.6;65.3;68.7;72.0nan
1654;45.9;55.0;60.5;65.3;67.7;69.8nan
1655;46.8;57.6;66.2;71.6;72.0;72.839486
1656;46.4;57.1;65.7;69.9;71.4;73.352211
1657;47.2;58.1;66.8;71.8;72.6;73.852218
1658;45.5;62.6;67.9;71.6;75.0;78.3nan
1659;47.6;63.7;68.5;70.5;73.3;77.0nan
1660;35.2;49.1;57.6;62.6;64.7;66.8nan
1661;35.9;58.8;62.5;66.3;67.2;70.6nan
1662;35.9;57.8;61.0;64.3;67.2;70.6nan
1663;36.1;51.1;58.0;67.3;69.7;71.8nan
1664;30.1;48.6;56.2;67.8;70.2;71.8nan
1666;43.4;55.0;62.2;66.3;68.4;70.538716
1667;39.2;52.6;60.8;65.7;67.5;69.260586
1668;45.8;56.3;64.8;66.8;70.5;74.7nan
1669;45.5;63.2;66.6;69.9;71.5;73.3nan
1670;39.1;54.1;60.8;69.8;72.2;73.8nan
1671;42.6;53.7;60.5;64.5;65.9;67.339132
1672;38.6;52.3;60.7;65.5;67.9;70.345980
1673;2014;40.7;51.5;58.1;61.8;63.8
1674;45.4;55.8;64.2;67.9;69.8;72.152618
1675;43.9;60.3;65.3;68.9;71.8;74.3nan
1676;4.7;2008;42.3;52.1;59.9;63.0
1677;D-4D;2010;43.2;53.1;61.1;63.1
1678;43.9;54.0;62.1;65.1;67.6;70.439122
1679;44.9;55.3;63.6;66.7;69.2;72.138784
1680;39.9;54.8;63.7;69.6;69.9;70.238784
1681;2009;32.4;59.3;62.5;66.8;68.5
1682;39.6;54.5;63.5;69.2;70.2;71.345990
1683;45.0;55.4;63.8;66.9;69.4;72.345995
1684;46.6;63.0;66.7;69.2;71.7;74.649467
1685;44.1;54.2;62.4;66.2;67.8;69.849466
1686;45.6;59.1;63.1;66.7;70.2;73.649467
1687;Wagon;2012;46.0;53.3;61.5;66.4
1688;44.5;55.6;60.8;65.4;68.5;72.060615
1689;35.5;51.9;61.7;68.0;68.9;69.860616
1690;2016;34.5;56.8;61.3;64.2;68.6
1691;46.9;58.8;62.5;66.3;69.1;72.770103
1692;25.9;45.5;53.8;66.8;69.2;71.872678
1693;2008;45.0;55.4;63.7;68.1;69.2
1694;2012;39.9;57.2;63.7;66.7;71.0
1695;38.3;56.3;60.2;63.9;67.8;70.9nan
1696;47.0;56.1;61.7;64.9;66.4;68.0nan
1697;48.9;57.0;62.5;66.8;69.2;71.873095
1698;35.1;50.1;57.3;66.8;69.2;71.873095
1699;2008;43.0;54.7;61.9;66.0;68.2
1700;2011;41.4;53.6;61.0;65.4;67.1
1701;2016;43.8;55.3;62.3;66.6;67.9
1702;2009;44.1;54.2;62.4;65.3;67.9
1703;42.6;55.9;64.0;69.1;70.0;70.938707
1704;44.3;54.6;62.7;67.0;68.2;69.8nan
1705;45.4;55.9;64.3;66.8;70.0;73.6nan
1706;47.1;56.6;62.2;67.3;69.7;71.8nan
1707;45.6;56.1;64.5;67.4;70.2;73.4nan
1708;45.6;56.1;64.5;67.4;70.2;73.4nan
1709;47.0;57.8;66.5;70.1;72.4;74.939606
1710;2010;39.7;61.3;66.2;70.0;71.4
1711;46.6;60.0;65.2;68.1;71.8;75.357367
1712;45.2;55.7;64.0;67.4;69.7;72.257369
1713;45.7;55.7;61.5;65.4;70.4;73.257369
1714;2012;44.2;54.4;62.6;65.9;68.1
1715;38.9;52.5;59.3;67.8;70.2;72.872570
1716;42.1;54.1;60.3;67.3;69.7;71.872569
1717;2012;47.9;57.3;61.9;64.6;68.8
1718;50.8;58.8;61.5;64.3;66.2;69.6nan
1719;42.9;54.0;60.0;66.3;68.7;70.8nan
1720;45.0;55.4;63.7;68.4;69.2;70.451746
1721;2011;45.0;55.4;63.8;67.2;69.4
1722;2009;48.8;57.8;63.3;66.4;68.2
1723;41.8;57.8;62.2;65.3;68.6;71.7nan
1724;2008;37.1;59.0;65.0;67.0;68.3
1725;2010;34.8;60.1;64.7;66.4;68.2
1726;44.8;55.1;63.4;67.6;68.9;70.651701
1727;46.7;63.9;66.4;70.6;72.6;75.042736
1728;45.8;56.4;64.9;69.5;70.5;71.9nan
1729;2008;45.0;55.4;63.8;68.0;69.3
1730;2008;46.0;62.4;65.2;67.2;68.6
1731;45.5;57.7;65.2;69.2;72.4;75.642516
1732;2009;44.0;56.4;62.3;64.5;66.7
1733;Plus;2009;45.3;55.8;64.1;66.7
1734;44.1;54.3;62.5;66.1;67.9;70.142960
1735;Stationcar;2010;44.9;55.2;63.5;67.2
1736;2010;44.4;54.6;62.8;67.3;68.3
1737;44.5;54.8;63.0;66.3;68.6;71.151662
1738;46.4;56.9;63.7;66.4;71.7;77.146056
1739;2011;44.3;54.5;62.7;67.0;68.1
1740;2011;44.3;54.5;62.7;67.0;68.1
1741;2011;44.4;59.0;64.2;67.4;68.3
1742;2012;38.9;56.9;59.2;62.1;65.2
1743;35.9;54.6;58.9;62.5;64.7;67.558257
1744;2013;35.9;56.5;61.2;65.5;66.9
1745;2013;46.1;57.0;61.1;63.2;66.2
1746;42.6;56.1;59.6;62.3;65.6;68.660797
1747;2014;36.4;54.3;59.2;61.8;65.5
1748;2014;44.3;58.2;62.2;65.5;68.3
1749;43.6;59.2;63.1;66.9;68.6;70.360798
1750;42.3;58.2;61.6;64.9;67.6;69.360802
1751;43.6;60.2;63.6;66.9;67.6;69.360800
1752;35.8;59.1;62.1;65.1;69.1;70.560800
1753;38.2;57.1;61.1;63.1;66.0;69.061620
1754;42.2;52.5;58.8;62.5;64.0;65.560938
1755;37.9;56.8;60.5;64.3;66.2;69.666859
1756;39.9;56.8;59.5;62.2;66.2;69.666859
1757;2016;37.9;57.8;61.0;64.3;66.2
1758;44.9;58.8;62.0;65.3;67.2;70.666862
1759;43.1;60.2;63.3;65.6;66.3;69.766859
1760;37.7;55.1;61.0;65.1;70.2;70.369430
1761;37.9;58.8;61.5;64.3;66.2;69.669426
1762;2017;38.9;59.8;63.0;66.3;67.2
1763;43.9;52.3;57.8;60.5;67.6;67.769427
1764;41.8;61.7;65.4;68.0;70.4;71.042500
1765;2009;47.8;58.9;65.5;69.7;70.6
1766;42.7;52.6;60.4;63.6;65.8;68.246087
1767;2011;43.6;53.1;58.6;64.1;67.2
1768;2011;39.8;50.7;57.4;61.1;63.5
1769;2013;34.2;53.9;58.5;62.3;64.5
1770;2014;35.0;49.8;58.8;64.4;65.6
1771;40.3;52.5;60.0;64.5;66.0;67.568107
1772;2011;48.7;60.3;64.3;68.2;70.5
1773;Stationcar;2008;43.1;62.0;64.5;66.5
1774;2008;44.5;54.7;62.9;68.0;68.4
1775;Stationcar;2008;43.6;53.7;61.7;66.2
1776;CC;2008;41.1;58.8;61.0;63.5
1777;Stationcar;2009;43.5;53.5;61.5;66.1
1778;2011;35.8;54.6;58.3;62.4;65.1
1779;2011;44.5;54.7;62.9;67.0;68.4
1780;2011;42.0;51.7;59.4;62.7;64.6
1781;Stationcar;2011;48.5;58.1;61.4;64.2
1782;2012;43.3;56.1;63.8;68.5;69.9
1783;2013;45.0;54.1;59.6;62.8;64.2
1784;37.1;58.2;61.2;64.3;67.3;70.760893
